participant2,recording,chunk,block,part,length,confidence,happy,sooth,love,exaggerate,nat_inf_label2,duration2
TSMA10,643,chunk1,FA1,1970580-1971675,1.095,3,0,1,1,0,C,29
TSMA10,643,chunk11,FA1,11130100-11130710,0.61,4,2,3,2,3,T,15
TSMA10,643,chunk11,FA1,11135799-11136280,0.481,4,2,4,4,1,T,18
TSMA10,643,chunk13,FA1,11276259-11276870,0.611,4,0,0,0,0,T,10
TSMA10,643,chunk13,FA1,11278211-11279081,0.87,4,0,2,1,0,T,16
TSMA10,643,chunk13,FA1,11280553-11281555,1.002,3,1,1,1,3,T,23
TSMA10,643,chunk13,FA1,11283035-11283520,0.485,4,2,4,4,1,T,11
TSMA10,643,chunk13,FA1,11288834-11290778,1.944,3,3,1,2,1,T,17
TSMA10,643,chunk13,FA1,11291655-11293667,2.012,4,1,0,2,1,T,24
TSMA10,2625,chunk15,FA1,10006988-10007435,0.447,3,0,0,0,1,T,10
TSMA10,2625,chunk15,FA1,10009239-10010020,0.781,2,0,2,0,0,T,19
TSMA10,2625,chunk15,FA1,10016585-10017025,0.44,3,2,1,1,2,T,11
TSMA10,2625,chunk15,FA1,10033418-10034212,0.794,4,3,3,3,3,T,6
TSMA10,643,chunk15,FA1,11395987-11397225,1.238,4,0,0,0,1,C,13
TSMA10,643,chunk15,FA1,11402131-11403831,1.7,4,0,0,0,0,C,8
TSMA10,2625,chunk15,FA1,9977706-9978000,0.294,3,1,0,0,2,T,9
TSMA10,2625,chunk15,FA1,9996590-9997840,1.25,0,0,1,2,2,T,23
TSMA10,643,chunk16,FA1,11450262-11451442,1.18,4,2,1,3,3,T,9
TSMA10,643,chunk16,FA1,11460013-11460782,0.769,4,3,2,1,2,T,12
TSMA10,2625,chunk17,FA1,12359701-12360702,1.001,3,0,0,0,2,C,10
TSMA10,643,chunk17,FA2,14258333-14259264,0.931,4,0,0,0,4,C,10
TSMA10,2625,chunk18,FA1,12394154-12394895,0.741,4,0,0,0,0,C,8
TSMA10,643,chunk19,FA2,14331953-14335836,3.883,2,0,3,0,0,C,24
TSMA10,643,chunk2,FA1,2016491-2017690,1.199,0,2,2,1,2,C,27
TSMA10,643,chunk2,FA1,2059578-2060477,0.899,4,2,0,2,2,C,29
TSMA10,2625,chunk2,FA1,2732315-2733314,0.999,3,0,1,1,3,T,16
TSMA10,643,chunk23,FA1,16625000-16625952,0.952,4,1,0,0,0,C,19
TSMA10,643,chunk23,FA1,16627528-16629715,2.187,4,1,0,1,3,C,18
TSMA10,643,chunk23,FA1,16631309-16634177,2.868,3,1,0,0,3,C,19
TSMA10,643,chunk23,FA1,16635372-16635975,0.603,4,3,1,0,3,C,12
TSMA10,643,chunk23,FA1,16647405-16648714,1.309,4,0,0,0,2,C,10
TSMA10,7220,chunk23,FA2,6314238-6315155,0.917,2,3,3,2,2,A,11
TSMA10,7220,chunk24,FA1,6382150-6384698,2.548,4,0,3,2,0,A,11
TSMA10,2625,chunk27,FA1,16659273-16660534,1.261,3,0,1,1,2,T,13
TSMA10,7220,chunk28,FA3,10140781-10142982,2.201,4,1,3,1,1,A,14
TSMA10,2625,chunk28,FA1,16704842-16705456,0.614,4,4,1,2,4,T,9
TSMA10,7220,chunk30,FA2,10259792-10260960,1.168,4,4,0,0,4,A,8
TSMA10,643,chunk30,FA1,20518422-20520287,1.865,4,2,4,4,2,C,20
TSMA10,7220,chunk31,FA3,10331446-10332114,0.668,3,2,2,2,2,A,14
TSMA10,7220,chunk31,FA3,10333771-10334051,0.28,3,0,0,0,2,A,8
TSMA10,643,chunk32,FA1,20648000-20648686,0.686,3,2,2,0,4,C,14
TSMA10,7220,chunk33,FA1,15227970-15228840,0.87,3,2,0,1,2,T,8
TSMA10,7220,chunk33,FA1,15234570-15235390,0.82,4,3,2,2,4,T,9
TSMA10,2625,chunk34,FA1,27374608-27374951,0.343,4,4,0,3,4,C,9
TSMA10,643,chunk36,FA2,21448917-21449845,0.928,4,0,0,0,2,A,10
TSMA10,7220,chunk37,FA1,15668705-15669471,0.766,3,3,2,2,2,A,16
TSMA10,7220,chunk38,FA1,15710148-15711393,1.245,4,2,0,0,2,C,9
TSMA10,643,chunk38,FA2,26161988-26162780,0.792,4,2,1,1,3,A,12
TSMA10,643,chunk38,FA2,26166056-26166616,0.56,4,2,2,2,2,A,18
TSMA10,643,chunk38,FA2,26183162-26183628,0.466,4,0,4,4,1,A,12
TSMA10,643,chunk38,FA1,26186810-26187708,0.898,4,0,4,2,0,C,10
TSMA10,643,chunk38,FA2,26191240-26192624,1.384,4,0,0,0,1,A,13
TSMA10,643,chunk38,FA2,26199560-26199872,0.312,4,0,0,0,2,A,11
TSMA10,643,chunk39,FA2,26530416-26532096,1.68,4,4,1,4,4,T,9
TSMA10,643,chunk39,FA2,26551008-26551304,0.296,1,0,0,0,1,C,12
TSMA10,643,chunk4,FA1,2151402-2152381,0.979,4,2,0,2,3,C,40
TSMA10,643,chunk4,FA1,2175929-2177029,1.1,4,2,0,1,3,C,22
TSMA10,7220,chunk40,FA2,16769798-16770312,0.514,1,0,0,0,0,A,20
TSMA10,643,chunk40,FA2,26567156-26567672,0.516,1,1,3,1,1,C,10
TSMA10,643,chunk40,FA2,26574169-26574780,0.611,1,1,3,2,0,C,19
TSMA10,643,chunk40,FA2,26592052-26592956,0.904,4,0,0,2,2,C,8
TSMA10,643,chunk40,FA2,26594990-26596112,1.122,4,0,0,0,2,C,8
TSMA10,643,chunk40,FA2,26597940-26598376,0.436,0,0,0,0,0,C,8
TSMA10,643,chunk40,FA2,26605792-26606719,0.927,0,0,0,0,2,C,9
TSMA10,7220,chunk41,FA2,16862720-16863544,0.824,3,0,1,1,0,A,17
TSMA10,643,chunk41,FA2,26653844-26655408,1.564,2,0,2,0,0,C,10
TSMA10,643,chunk42,FA2,26688700-26690145,1.445,4,0,0,0,0,C,8
TSMA10,643,chunk42,FA2,26705730-26706392,0.662,3,0,0,0,2,C,12
TSMA10,643,chunk43,FA2,26765672-26766716,1.044,4,2,0,0,2,C,14
TSMA10,643,chunk43,FA2,26774544-26775095,0.551,1,0,0,0,0,T,11
TSMA10,643,chunk43,FA2,26776314-26776764,0.45,2,0,0,2,0,T,12
TSMA10,643,chunk44,FA2,26875950-26876216,0.266,1,0,0,0,0,T,10
TSMA10,643,chunk44,FA2,26892220-26892602,0.382,4,4,0,0,4,T,11
TSMA10,643,chunk44,FA1,26914270-26914732,0.462,2,0,0,0,1,C,10
TSMA10,7220,chunk45,FA1,22509634-22510507,0.873,0,1,1,1,1,A,13
TSMA10,7220,chunk45,FA1,22553842-22554290,0.448,2,1,0,0,1,A,13
TSMA10,643,chunk45,FA1,28254346-28254820,0.474,3,0,0,0,2,C,13
TSMA10,643,chunk46,FA1,28333736-28334228,0.492,3,0,0,0,1,A,11
TSMA10,643,chunk47,FA1,28396592-28398016,1.424,3,0,3,1,0,C,16
TSMA10,643,chunk47,FA1,28399200-28400742,1.542,3,0,0,0,1,C,10
TSMA10,643,chunk47,FA1,28428962-28431014,2.052,2,0,0,0,1,A,9
TSMA10,643,chunk47,FA1,28439326-28440578,1.252,0,0,0,0,0,A,12
TSMA10,643,chunk48,FA1,28458098-28459792,1.694,2,1,0,0,2,A,9
TSMA10,643,chunk49,FA1,28543056-28544596,1.54,3,0,0,0,1,C,12
TSMA10,643,chunk5,FA1,2225833-2226779,0.946,3,0,0,2,0,C,19
TSMA10,7220,chunk5,FA2,2277112-2277846,0.734,4,2,4,2,1,C,13
TSMA10,643,chunk50,FA1,29955716-29956736,1.02,3,1,3,2,0,A,10
TSMA10,7220,chunk50,FA1,30484060-30484490,0.43,3,1,0,0,2,T,9
TSMA10,643,chunk51,FA1,30536680-30539238,2.558,3,0,3,2,2,A,14
TSMA10,643,chunk51,FA1,30552436-30554260,1.824,2,1,1,1,1,A,14
TSMA10,643,chunk51,FA1,30555748-30556070,0.322,2,0,0,0,2,A,11
TSMA10,7220,chunk51,FA1,30594186-30594776,0.59,2,0,0,0,2,A,11
TSMA10,7220,chunk51,FA1,30610467-30610937,0.47,4,1,0,0,4,A,12
TSMA10,7220,chunk51,FA4,30631976-30632598,0.622,3,0,0,0,1,A,10
TSMA10,7220,chunk51,FA4,30641566-30642573,1.007,4,4,0,2,4,A,10
TSMA10,7220,chunk51,FA4,30644641-30645436,0.795,4,4,0,3,4,A,13
TSMA10,7220,chunk51,FA4,30646015-30648287,2.272,3,1,0,0,0,A,10
TSMA10,7220,chunk52,FA4,30659890-30661112,1.222,3,1,0,0,1,A,11
TSMA10,643,chunk9,FA2,5197156-5197796,0.64,4,2,3,3,2,T,24
TSMA11,3026,chunk1,FA1,1725530-1728100,2.57,2,1,2,2,0,T,18
TSMA11,2109,chunk1,FA1,3544029-3545144,1.115,3,0,3,1,0,T,51
TSMA11,2109,chunk1,FA1,3579785-3580395,0.61,2,0,1,2,0,T,28
TSMA11,2109,chunk1,FA1,3593258-3593900,0.642,2,3,1,3,2,T,29
TSMA11,2109,chunk10,FA1,14351526-14352189,0.663,3,0,0,0,0,A,17
TSMA11,2109,chunk10,FA1,14354387-14355944,1.557,2,0,1,1,0,A,18
TSMA11,3026,chunk10,FA1,5749130-5750280,1.15,2,1,2,2,0,T,13
TSMA11,2109,chunk11,FA1,14380507-14382394,1.887,3,0,2,0,1,A,31
TSMA11,2109,chunk11,FA1,14395418-14396095,0.677,2,2,0,2,2,A,15
TSMA11,2109,chunk11,FA1,14397366-14398302,0.936,2,1,0,1,0,A,15
TSMA11,2109,chunk11,FA1,14420204-14421186,0.982,3,0,2,0,0,A,19
TSMA11,3026,chunk11,FA1,5815842-5816239,0.397,2,1,2,2,0,T,18
TSMA11,3026,chunk11,FA1,5830066-5830586,0.52,3,0,2,2,0,T,18
TSMA11,3026,chunk11,FA1,5836985-5837401,0.416,1,0,1,1,0,T,16
TSMA11,2109,chunk12,FA1,14427593-14428162,0.569,1,2,2,2,2,A,14
TSMA11,2109,chunk12,FA1,14465746-14466302,0.556,2,0,2,2,0,A,10
TSMA11,3026,chunk12,FA1,5890449-5891500,1.051,2,2,0,1,2,T,11
TSMA11,8787,chunk12,FA2,9057065-9057565,0.5,2,2,0,2,1,T,16
TSMA11,8787,chunk12,FA2,9088700-9089200,0.5,2,2,0,2,2,T,16
TSMA11,8787,chunk13,FA2,9132966-9133988,1.022,3,2,2,3,3,T,21
TSMA11,8787,chunk13,FA2,9143766-9144855,1.089,2,3,0,1,3,T,14
TSMA11,3026,chunk14,FA1,8926110-8927480,1.37,3,1,3,3,0,T,13
TSMA11,8787,chunk14,FA2,9183157-9184142,0.985,2,1,1,1,0,T,14
TSMA11,8787,chunk14,FA2,9202608-9205123,2.515,2,0,0,1,0,A,16
TSMA11,3026,chunk15,FA1,8982657-8983773,1.116,2,0,1,2,0,T,17
TSMA11,3026,chunk15,FA1,8984620-8985943,1.323,2,1,2,2,0,T,11
TSMA11,2109,chunk17,FA1,18168308-18168732,0.424,2,0,1,1,0,T,17
TSMA11,8787,chunk17,FA2,9390142-9390804,0.662,2,2,0,1,3,T,12
TSMA11,2109,chunk18,FA1,20214430-20214808,0.378,2,2,0,1,1,T,23
TSMA11,2109,chunk18,FA1,20221108-20221570,0.462,2,2,0,1,2,T,20
TSMA11,2109,chunk18,FA1,20226792-20227076,0.284,2,2,0,2,2,T,21
TSMA11,8787,chunk18,FA2,9500970-9501470,0.5,2,2,0,1,1,T,17
TSMA11,8787,chunk18,FA2,9526050-9526600,0.55,2,1,0,1,1,T,21
TSMA11,3026,chunk19,FA1,13578840-13579290,0.45,2,2,0,1,2,T,13
TSMA11,2109,chunk19,FA1,22712384-22713280,0.896,1,1,1,1,1,T,14
TSMA11,2109,chunk2,FA1,3606215-3606377,0.162,1,2,0,2,2,T,26
TSMA11,2109,chunk2,FA1,3650280-3651174,0.894,3,0,2,1,0,T,22
TSMA11,8787,chunk20,FA1,14545620-14546254,0.634,2,0,2,2,0,C,9
TSMA11,3026,chunk20,FA1,15454646-15455780,1.134,3,0,3,1,0,T,15
TSMA11,8787,chunk21,FA1,14601533-14601986,0.453,2,0,2,2,1,C,14
TSMA11,8787,chunk21,FA1,14654466-14654861,0.395,2,2,0,2,2,C,18
TSMA11,2109,chunk21,FA1,22855732-22856108,0.376,3,0,2,2,0,T,15
