participant,ID,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label,duration
TSMD10,10,643,chunk38,FA2,26161988-26162780,0.792,cds,3,A,5
TSMD10,10,643,chunk38,FA2,26166056-26166616,0.56,ads,2,A,4
TSMD10,10,643,chunk38,FA2,26183162-26183628,0.466,ads,2,A,4
TSMD10,10,643,chunk38,FA1,26186810-26187708,0.898,cds,3,C,5
TSMD10,10,643,chunk38,FA2,26191240-26192624,1.384,cds,2,A,7
TSMD10,10,643,chunk38,FA2,26199560-26199872,0.312,ads,0,A,4
TSMD10,10,643,chunk39,FA2,26530416-26532096,1.68,cds,4,T,5
TSMD10,10,643,chunk39,FA2,26551008-26551304,0.296,cds,3,C,5
TSMD10,10,643,chunk4,FA1,2151402-2152381,0.979,cds,2,C,18
TSMD10,10,643,chunk4,FA1,2175929-2177029,1.1,ads,2,C,13
TSMD10,10,643,chunk40,FA2,26567156-26567672,0.516,cds,3,C,5
TSMD10,10,643,chunk40,FA2,26574169-26574780,0.611,ads,3,C,4
TSMD10,10,643,chunk40,FA2,26592052-26592956,0.904,ads,3,C,3
TSMD10,10,643,chunk40,FA2,26594990-26596112,1.122,ads,4,C,6
TSMD10,10,643,chunk40,FA2,26597940-26598376,0.436,cds,3,C,8
TSMD10,10,643,chunk40,FA2,26605792-26606719,0.927,ads,4,C,5
TSMD10,10,643,chunk41,FA2,26653844-26655408,1.564,ads,3,C,6
TSMD10,10,643,chunk42,FA2,26688700-26690145,1.445,cds,4,C,5
TSMD10,10,643,chunk42,FA2,26705730-26706392,0.662,ads,3,C,5
TSMD10,10,643,chunk43,FA2,26765672-26766716,1.044,cds,2,C,6
TSMD10,10,643,chunk43,FA2,26774544-26775095,0.551,cds,3,T,5
TSMD10,10,643,chunk43,FA2,26776314-26776764,0.45,cds,3,T,6
TSMD10,10,643,chunk44,FA2,26875950-26876216,0.266,cds,4,T,6
TSMD10,10,643,chunk44,FA2,26892220-26892602,0.382,cds,2,T,3
TSMD10,10,643,chunk44,FA1,26914270-26914732,0.462,cds,2,C,4
TSMD10,10,643,chunk45,FA1,28254346-28254820,0.474,ads,2,C,4
TSMD10,10,643,chunk46,FA1,28333736-28334228,0.492,cds,3,A,6
TSMD10,10,643,chunk47,FA1,28396592-28398016,1.424,ads,3,C,6
TSMD10,10,643,chunk47,FA1,28399200-28400742,1.542,ads,0,C,5
TSMD10,10,643,chunk47,FA1,28428962-28431014,2.052,ads,2,A,11
TSMD10,10,643,chunk47,FA1,28439326-28440578,1.252,ads,3,A,5
TSMD10,10,643,chunk48,FA1,28458098-28459792,1.694,ads,3,A,4
TSMD10,10,643,chunk49,FA1,28543056-28544596,1.54,ads,2,C,7
TSMD10,10,643,chunk5,FA1,2225833-2226779,0.946,cds,3,C,7
TSMD10,10,643,chunk50,FA1,29955716-29956736,1.02,ads,3,A,8
TSMD10,10,643,chunk51,FA1,30536680-30539238,2.558,cds,3,A,6
TSMD10,10,643,chunk51,FA1,30552436-30554260,1.824,ads,3,A,5
TSMD10,10,643,chunk51,FA1,30555748-30556070,0.322,cds,3,A,5
TSMD10,10,643,chunk9,FA2,5197156-5197796,0.64,cds,4,T,11
TSMD10,10,2625,chunk2,FA1,2732315-2733314,0.999,cds,3,T,15
TSMD10,10,7220,chunk23,FA2,6314238-6315155,0.917,cds,1,A,11
TSMD10,10,7220,chunk24,FA1,6382150-6384698,2.548,cds,4,A,15
TSMD10,10,7220,chunk28,FA3,10140781-10142982,2.201,cds,3,A,9
TSMD10,10,7220,chunk30,FA2,10259792-10260960,1.168,cds,4,A,6
TSMD10,10,7220,chunk31,FA3,10331446-10332114,0.668,cds,3,A,6
TSMD10,10,7220,chunk31,FA3,10333771-10334051,0.28,cds,3,A,12
TSMD10,10,7220,chunk33,FA1,15227970-15228840,0.87,cds,3,T,8
TSMD10,10,7220,chunk33,FA1,15234570-15235390,0.82,ads,3,T,5
