participant,group,clip,clip_length,rater_Label,confidence,background_noise,happy,angry,sad,sooth,love,exaggerated,clear,nat_inf_label,recorded_child,rating_duration,rater_labeln,nat_inf_labeln
SUB1,group_2,105735-106485,750,cds,0,-2,2,2,2,2,2,2,2,A,Danial,33,0,1
SUB1,group_2,216525-218665,2140,ads,0,-2,2,2,2,2,2,2,4,A,Mahan,9,1,1
SUB1,group_2,144455-145285,830,ads,0,-2,2,2,2,2,2,2,4,A,Vihan,9,1,1
SUB1,group_2,291900-293920,2020,cds,0,-2,3,2,2,2,2,2,1,I,Mahan,7,0,0
SUB1,group_2,251941-253841,1900,cds,0,-2,3,2,2,2,2,3,2,I,Amirali,6,0,0
SUB1,group_2,221030-222480,1450,cds,0,-2,3,2,2,3,3,2,4,I,Mahan,8,0,0
SUB1,group_2,57130-58950,1820,cds,0,-2,2,2,2,3,3,3,4,I,Diana,11,0,0
SUB1,group_2,302564-304400,1836,cds,0,-2,2,2,2,2,2,2,4,I,Illia,7,0,0
SUB1,group_2,155315-156155,840,ads,0,-2,2,2,2,2,2,2,4,A,Danial,16,1,1
SUB1,group_2,138185-139485,1300,cds,0,-2,2,2,2,2,2,2,4,I,Melorin,13,0,0
SUB1,group_2,71399-73853,2454,cds,0,-2,2,2,2,2,2,2,3,I,Danial,5,0,0
SUB1,group_2,13705-14925,1220,ads,0,-2,2,2,2,2,2,2,1,I,Ali,15,1,0
SUB1,group_2,52925-54125,1200,cds,0,-2,2,2,2,2,2,2,4,I,Illia,3,0,0
SUB1,group_2,227635-228863,1228,cds,0,-2,3,2,2,2,2,3,0,I,Amirali,14,0,0
SUB1,group_2,43360-43855,495,cds,0,-2,2,2,2,2,2,2,3,A,Melorin,9,0,1
SUB1,group_2,210225-212705,2480,cds,0,-2,3,2,2,2,2,2,4,A,Amirali,6,0,1
SUB1,group_2,139944-143335,3391,ads,0,-2,2,2,2,2,2,2,1,A,Niki,9,1,1
SUB1,group_2,65055-66775,1720,cds,0,-2,2,2,2,2,2,2,4,I,Melorin,7,0,0
SUB1,group_2,184315-185229,914,cds,0,-2,2,2,2,2,3,2,3,I,Ali,6,0,0
SUB1,group_2,69110-70180,1070,cds,0,-2,2,2,2,2,2,2,4,A,Melorin,6,0,1
SUB1,group_2,54445-56185,1740,cds,0,-2,2,2,2,2,2,2,4,I,Melorin,6,0,0
SUB1,group_2,251565-254935,3370,cds,0,-2,2,2,2,2,2,2,4,A,Vihan,31,0,1
SUB1,group_2,64200-65680,1480,cds,0,-2,2,2,2,2,2,2,4,I,Illia,7,0,0
SUB1,group_2,53710-55630,1920,cds,0,-2,2,2,2,2,2,2,4,A,Danial,5,0,1
SUB1,group_2,225925-230905,4980,ads,0,-2,2,2,2,2,2,2,4,A,Ali,7,1,1
SUB1,group_2,202435-202715,280,ads,0,-2,2,2,2,2,2,2,3,A,Vihan,7,1,1
SUB1,group_2,318240-320090,1850,cds,0,-2,2,2,2,2,2,2,4,I,Mahan,7,0,0
