Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
12:13:14 27Jan2020,TSMD11,2109,chunk1,FA1,3593258-3593900,0.642,cds,4,T,3,None
12:13:02 27Jan2020,TSMD11,2109,chunk1,FA1,3544029-3545144,1.115,ads,1,T,4,None
12:13:09 27Jan2020,TSMD11,2109,chunk1,FA1,3579785-3580395,0.61,cds,3,T,5,None
12:11:54 27Jan2020,TSMD11,2109,chunk32,FA1,31670300-31670760,0.46,cds,0,T,3,None
12:11:50 27Jan2020,TSMD11,2109,chunk32,FA1,31660680-31660968,0.288,ads,0,T,2,None
12:14:17 27Jan2020,TSMD11,2109,chunk7,FA1,4184903-4185702,0.799,cds,2,T,2,None
12:13:59 27Jan2020,TSMD11,2109,chunk6,FA1,4104430-4104798,0.368,ads,4,T,2,None
12:14:04 27Jan2020,TSMD11,2109,chunk6,FA1,4127990-4129054,1.064,cds,1,T,3,None
12:14:08 27Jan2020,TSMD11,2109,chunk6,FA1,4132669-4133090,0.421,cds,2,T,3,None
12:14:12 27Jan2020,TSMD11,2109,chunk6,FA1,4137008-4137831,0.823,ads,3,T,2,None
12:13:48 27Jan2020,TSMD11,2109,chunk6,FA1,4095542-4095903,0.361,cds,2,T,4,None
12:13:56 27Jan2020,TSMD11,2109,chunk6,FA1,4102388-4102896,0.508,ads,4,T,3,None
12:13:53 27Jan2020,TSMD11,2109,chunk6,FA1,4098584-4098812,0.228,ads,3,T,3,None
12:13:42 27Jan2020,TSMD11,2109,chunk5,FA1,4030674-4030807,0.133,cds,0,T,2,None
12:15:59 27Jan2020,TSMD11,2109,chunk21,FA1,22855732-22856108,0.376,cds,1,T,3,None
12:19:11 27Jan2020,TSMD11,8787,chunk13,FA2,9143766-9144855,1.089,cds,3,T,4,None
12:19:06 27Jan2020,TSMD11,8787,chunk13,FA2,9132966-9133988,1.022,ads,2,T,5,None
12:18:53 27Jan2020,TSMD11,8787,chunk12,FA2,9057065-9057565,0.5,cds,4,T,4,None
12:18:58 27Jan2020,TSMD11,8787,chunk12,FA2,9088700-9089200,0.5,cds,1,T,4,None
12:19:43 27Jan2020,TSMD11,8787,chunk18,FA2,9500970-9501470,0.5,ads,4,T,5,None
12:19:48 27Jan2020,TSMD11,8787,chunk18,FA2,9526050-9526600,0.55,ads,2,T,3,None
12:19:34 27Jan2020,TSMD11,8787,chunk17,FA2,9390142-9390804,0.662,ads,2,T,6,None
12:21:20 27Jan2020,TSMD11,8787,chunk38,FA1,25687416-25688388,0.972,ads,3,A,5,None
12:21:14 27Jan2020,TSMD11,8787,chunk38,FA1,25684779-25685401,0.622,cds,1,A,4,None
12:19:25 27Jan2020,TSMD11,8787,chunk14,FA2,9202608-9205123,2.515,ads,4,A,3,None
