Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
09:18:36 24Jan2020,TSMA30,7326,chunk24,FA1,15076500-15078229,1.729,unlabeled,2,0,1,0,2,T,13,None
09:18:20 24Jan2020,TSMA30,7326,chunk24,FA1,15047442-15048349,0.907,unlabeled,4,0,0,0,0,T,21,None
09:19:35 24Jan2020,TSMA30,7326,chunk24,FA1,15089434-15090934,1.5,unlabeled,4,0,1,0,0,T,8,None
09:18:57 24Jan2020,TSMA30,7326,chunk24,FA1,15079106-15079778,0.672,unlabeled,1,0,0,0,1,T,19,None
09:19:12 24Jan2020,TSMA30,7326,chunk24,FA1,15085418-15086016,0.598,unlabeled,1,0,0,0,0,T,10,None
09:19:25 24Jan2020,TSMA30,7326,chunk24,FA1,15088057-15088786,0.729,unlabeled,4,0,0,0,0,T,11,None
09:19:47 24Jan2020,TSMA30,7326,chunk25,FA1,15114549-15114909,0.36,unlabeled,3,0,0,0,0,T,9,None
09:19:54 24Jan2020,TSMA30,7326,chunk25,FA1,15122295-15122754,0.459,unlabeled,4,0,0,0,0,T,5,None
09:17:33 24Jan2020,TSMA30,7326,chunk9,FA1,6935357-6936418,1.061,unlabeled,2,1,1,0,0,T,17,None
09:17:03 24Jan2020,TSMA30,7326,chunk9,FA1,6927496-6928764,1.268,unlabeled,4,0,0,0,0,T,12,None
09:17:42 24Jan2020,TSMA30,7326,chunk9,FA1,6940080-6941386,1.306,unlabeled,3,0,0,0,0,T,7,None
09:16:47 24Jan2020,TSMA30,7326,chunk8,FA2,6566153-6566884,0.731,unlabeled,2,1,0,0,2,A,12,None
09:16:31 24Jan2020,TSMA30,7326,chunk8,FA1,6565776-6566730,0.954,unlabeled,2,0,1,0,1,T,17,None
09:24:02 24Jan2020,TSMA30,7326,chunk34,FA1,27400012-27400851,0.839,unlabeled,1,0,0,0,0,T,9,None
09:23:51 24Jan2020,TSMA30,7326,chunk34,FA1,27398758-27399208,0.45,unlabeled,2,0,1,1,0,T,15,None
09:24:28 24Jan2020,TSMA30,7326,chunk44,FA1,28471290-28472340,1.05,unlabeled,4,0,0,0,0,T,8,None
09:15:55 24Jan2020,TSMA30,7326,chunk2,FA2,3901270-3902450,1.18,unlabeled,2,1,0,0,0,A,14,None
09:23:33 24Jan2020,TSMA30,7326,chunk32,FA1,27157897-27158433,0.536,unlabeled,1,0,0,0,1,T,7,None
09:16:10 24Jan2020,TSMA30,7326,chunk6,FA1,4402455-4403095,0.64,unlabeled,2,1,0,0,3,T,11,None
09:24:14 24Jan2020,TSMA30,7326,chunk42,FA1,28064949-28065690,0.741,unlabeled,2,0,2,2,0,T,9,None
09:24:42 24Jan2020,TSMA30,8179,chunk7,FA1,2410119-2410990,0.871,unlabeled,4,1,2,3,3,A,7,None
09:25:09 24Jan2020,TSMA30,8179,chunk21,FA2,16292865-16295496,2.631,unlabeled,4,1,1,3,3,A,12,None
09:25:19 24Jan2020,TSMA30,8179,chunk21,FA3,16296446-16297291,0.845,unlabeled,2,0,1,0,0,A,7,None
09:25:34 24Jan2020,TSMA30,8179,chunk48,FA1,30255737-30256840,1.103,unlabeled,3,1,0,0,2,C,11,None
09:24:54 24Jan2020,TSMA30,8179,chunk16,FA2,13865540-13865908,0.368,unlabeled,2,0,0,0,0,A,10,None
12:33:42 17Jan2020,TSMA10,7220,chunk28,FA3,10140781-10142982,2.201,unlabeled,4,1,3,1,1,A,14,None
12:35:39 17Jan2020,TSMA10,7220,chunk38,FA1,15710148-15711393,1.245,unlabeled,4,2,0,0,2,C,9,None
12:33:12 17Jan2020,TSMA10,7220,chunk23,FA2,6314238-6315155,0.917,unlabeled,2,3,3,2,2,A,11,None
12:35:26 17Jan2020,TSMA10,7220,chunk37,FA1,15668705-15669471,0.766,unlabeled,3,3,2,2,2,A,16,None
12:34:30 17Jan2020,TSMA10,7220,chunk31,FA3,10331446-10332114,0.668,unlabeled,3,2,2,2,2,A,14,None
12:34:39 17Jan2020,TSMA10,7220,chunk31,FA3,10333771-10334051,0.28,unlabeled,3,0,0,0,2,A,8,None
12:33:53 17Jan2020,TSMA10,7220,chunk30,FA2,10259792-10260960,1.168,unlabeled,4,4,0,0,4,A,8,None
12:33:25 17Jan2020,TSMA10,7220,chunk24,FA1,6382150-6384698,2.548,unlabeled,4,0,3,2,0,A,11,None
12:36:24 17Jan2020,TSMA10,7220,chunk41,FA2,16862720-16863544,0.824,unlabeled,3,0,1,1,0,A,17,None
12:32:58 17Jan2020,TSMA10,7220,chunk5,FA2,2277112-2277846,0.734,unlabeled,4,2,4,2,1,C,13,None
12:35:07 17Jan2020,TSMA10,7220,chunk33,FA1,15234570-15235390,0.82,unlabeled,4,3,2,2,4,T,9,None
